mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,lat,lon,depth,quake_id
1.8,"62 km ENE of Pedro Bay, Alaska",1716678398334,1716678625701,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246pu709o,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246pu709o.geojson,,,,,automatic,0,50,ak,0246pu709o,",ak0246pu709o,",",ak,",",origin,phase-data,",,,0.91,,ml,earthquake,"M 1.8 - 62 km ENE of Pedro Bay, Alaska",60.0072,-153.0695,119.9,ak0246pu709o
-0.4,"48 km WNW of Indian Springs, Nevada",1716678289351,1716769616212,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878192,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00878192.geojson,,,,,reviewed,0,0,nn,00878192,",nn00878192,",",nn,",",origin,phase-data,",8.0,0.031,0.0492,130.33000000000004,ml,earthquake,"M -0.4 - 48 km WNW of Indian Springs, Nevada",36.7222,-116.1743,3.5,nn00878192
0.87,"14 km N of Warner Springs, CA",1716678284230,1716905611300,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600487,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600487.geojson,,,,,reviewed,0,12,ci,40600487,",ci40600487,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",31.0,0.09253,0.15,64.0,ml,earthquake,"M 0.9 - 14 km N of Warner Springs, CA",33.4056667,-116.6333333,6.26,ci40600487
2.3,"12 km ESE of Pāhala, Hawaii",1716678180860,1716678983040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74248036,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74248036.geojson,,,,,automatic,0,81,hv,74248036,",us6000n10f,hv74248036,",",us,hv,",",origin,phase-data,",55.0,0.0846,0.140000001,182.0,ml,earthquake,"M 2.3 - 12 km ESE of Pāhala, Hawaii",19.1459999084473,-155.373168945312,28.4799995422363,hv74248036
2.0,"5 km NNE of Big Lake, Alaska",1716677762243,1716677937059,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246ptw7og,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246ptw7og.geojson,,,,,automatic,0,62,ak,0246ptw7og,",ak0246ptw7og,",",ak,",",origin,phase-data,",,,0.66,,ml,earthquake,"M 2.0 - 5 km NNE of Big Lake, Alaska",61.567,-149.9147,26.5,ak0246ptw7og
0.84,"6 km E of Hebgen Lake Estates, Montana",1716676989690,1716908950020,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80070346,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu80070346.geojson,,,,,reviewed,0,11,uu,80070346,",uu80070346,",",uu,",",origin,phase-data,",15.0,0.03476,0.15,77.0,ml,earthquake,"M 0.8 - 6 km E of Hebgen Lake Estates, Montana",44.7615,-111.11,10.68,uu80070346
-0.03,"87 km NNW of Karluk, Alaska",1716676425040,1716934815050,,https://earthquake.usgs.gov/earthquakes/eventpage/av93140041,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/av93140041.geojson,,,,,reviewed,0,0,av,93140041,",av93140041,",",av,",",origin,phase-data,",11.0,0.07506,0.1,79.0,ml,earthquake,"M -0.0 - 87 km NNW of Karluk, Alaska",58.2598333333333,-155.143666666667,31.81,av93140041
-0.09,"18 km W of Dutch Harbor, Alaska",1716676226750,1716934232420,,https://earthquake.usgs.gov/earthquakes/eventpage/av93140031,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/av93140031.geojson,,,,,reviewed,0,0,av,93140031,",av93140031,",",av,",",origin,phase-data,",6.0,0.05792,0.11,130.0,ml,earthquake,"M -0.1 - 18 km W of Dutch Harbor, Alaska",53.8608333333333,-166.823333333333,5.17,av93140031
6.3,"83 km NNW of Port-Vila, Vanuatu",1716675796981,1716762849479,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n102,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000n102.geojson,16.0,5.0,5.519,green,reviewed,1,619,us,6000n102,",pt24146000,at00se2biv,us6000n102,",",pt,at,us,",",dyfi,ground-failure,impact-link,losspager,moment-tensor,origin,phase-data,shakemap,",169.0,4.83,0.77,28.0,mww,earthquake,"M 6.3 - 83 km NNW of Port-Vila, Vanuatu",-17.1088,167.8842,29.182,us6000n102
1.9,"19 km W of Karluk, Alaska",1716675113644,1716675299218,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246ptmof8,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246ptmof8.geojson,,,,,automatic,0,56,ak,0246ptmof8,",ak0246ptmof8,",",ak,",",origin,phase-data,",,,0.23,,ml,earthquake,"M 1.9 - 19 km W of Karluk, Alaska",57.544,-154.7737,29.4,ak0246ptmof8
0.86,"8 km NW of Prague, Oklahoma",1716675017149,1716908161650,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024kgpv,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ok2024kgpv.geojson,,,,,reviewed,0,11,ok,2024kgpv,",ok2024kgpv,",",ok,",",origin,phase-data,",26.0,0.01799646848,0.12,53.0,ml,earthquake,"M 0.9 - 8 km NW of Prague, Oklahoma",35.53183333,-96.7595,6.5,ok2024kgpv
-0.28,"250 km W of Adak, Alaska",1716674575950,1716933684610,,https://earthquake.usgs.gov/earthquakes/eventpage/av93009089,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/av93009089.geojson,,,,,reviewed,0,0,av,93009089,",av93009089,",",av,",",origin,phase-data,",4.0,0.02521,0.09,302.0,ml,earthquake,"M -0.3 - 250 km W of Adak, Alaska",51.9095,179.722833333333,4.21,av93009089
0.6,"11 km S of Big Bear Lake, CA",1716674179450,1716927793570,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600407,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600407.geojson,,,,,reviewed,0,6,ci,40600407,",ci40600407,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.0646,0.14,110.0,ml,earthquake,"M 0.6 - 11 km S of Big Bear Lake, CA",34.1485,-116.8946667,9.48,ci40600407
1.9,"7 km SSE of Central, Alaska",1716673467057,1716673635763,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246pt89e9,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246pt89e9.geojson,,,,,automatic,0,56,ak,0246pt89e9,",ak0246pt89e9,",",ak,",",origin,phase-data,",,,0.78,,ml,earthquake,"M 1.9 - 7 km SSE of Central, Alaska",65.5084,-144.7345,0.8,ak0246pt89e9
1.3800000000000001,"15 km NNE of Ashford, Washington",1716673034670,1716850986180,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62009061,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw62009061.geojson,,,,,reviewed,0,29,uw,62009061,",uw62009061,",",uw,",",origin,phase-data,",31.0,0.01836,0.1,63.0,ml,earthquake,"M 1.4 - 15 km NNE of Ashford, Washington",46.88466666666667,-121.94666666666667,12.99,uw62009061
4.4,"76 km NNE of Calama, Chile",1716672243690,1716673477040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0zx,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000n0zx.geojson,,,,,reviewed,0,298,us,6000n0zx,",us6000n0zx,",",us,",",origin,phase-data,",18.0,0.669,0.73,68.0,mb,earthquake,"M 4.4 - 76 km NNE of Calama, Chile",-21.878,-68.5266,128.969,us6000n0zx
-0.02,"38 km NNE of Amboy, Washington",1716672128640,1716932284430,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62009056,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw62009056.geojson,,,,,reviewed,0,0,uw,62009056,",uw62009056,",",uw,",",origin,phase-data,",7.0,0.01266,0.09,97.0,md,other event,"M -0.0 Other Event - 38 km NNE of Amboy, Washington",46.21066666666667,-122.20016666666666,-1.64,uw62009056
1.41,"1 km SW of View Park-Windsor Hills, CA",1716672022700,1716927667000,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600367,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600367.geojson,,,,,reviewed,0,31,ci,40600367,",ci40600367,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.002627,0.19,71.0,ml,earthquake,"M 1.4 - 1 km SW of View Park-Windsor Hills, CA",33.988,-118.3608333,6.75,ci40600367
2.18,"19 km WSW of Volcano, Hawaii",1716671630260,1716921049750,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74247996,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74247996.geojson,,,,,reviewed,0,73,hv,74247996,",us6000n0zw,hv74247996,",",us,hv,",",origin,phase-data,",49.0,0.04569,0.09,35.0,ml,earthquake,"M 2.2 - 19 km WSW of Volcano, Hawaii",19.3953333333333,-155.4155,9.59,hv74247996
1.93,"14 km S of Princeton, Canada",1716671551600,1716932041600,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62009046,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw62009046.geojson,,,,,reviewed,0,57,uw,62009046,",uw62009046,",",uw,",",origin,phase-data,",10.0,0.5658,0.18,174.0,ml,explosion,"M 1.9 Explosion - 14 km S of Princeton, Canada",49.33283333333333,-120.49,-0.37,uw62009046
1.9,"31 km WSW of Nanwalek, Alaska",1716670885655,1716670994628,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246psz1hx,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246psz1hx.geojson,,,,,automatic,0,56,ak,0246psz1hx,",ak0246psz1hx,",",ak,",",origin,phase-data,",,,0.33,,ml,earthquake,"M 1.9 - 31 km WSW of Nanwalek, Alaska",59.2973,-152.457,64.6,ak0246psz1hx
0.83,"14 km SSW of Searles Valley, CA",1716670509410,1716905644388,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600319,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600319.geojson,,,,,reviewed,0,11,ci,40600319,",ci40600319,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.04788,0.12,106.0,ml,earthquake,"M 0.8 - 14 km SSW of Searles Valley, CA",35.6578333,-117.4818333,5.81,ci40600319
0.8,"14 km SSW of Searles Valley, CA",1716670389680,1716927280267,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600311,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600311.geojson,,,,,reviewed,0,10,ci,40600311,",ci40600311,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.04732,0.11,106.0,ml,earthquake,"M 0.8 - 14 km SSW of Searles Valley, CA",35.658,-117.4811667,6.12,ci40600311
0.93,"8 km S of Yucca Valley, CA",1716668791410,1716926935037,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600303,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600303.geojson,,,,,reviewed,0,13,ci,40600303,",ci40600303,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",34.0,0.04982,0.1,92.0,ml,earthquake,"M 0.9 - 8 km S of Yucca Valley, CA",34.0411667,-116.4395,8.68,ci40600303
4.8,"11 km WSW of Canoas, Costa Rica",1716667897355,1716813950040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0zu,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000n0zu.geojson,3.0,3.1,,,reviewed,0,355,us,6000n0zu,",us6000n0zu,",",us,",",dyfi,moment-tensor,origin,phase-data,",96.0,0.385,1.02,93.0,mww,earthquake,"M 4.8 - 11 km WSW of Canoas, Costa Rica",8.4925,-82.9318,10.72,us6000n0zu
2.0,"6 km ESE of Fowlerton, Texas",1716667896787,1717187159103,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024kglx,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/tx2024kglx.geojson,,,,,reviewed,0,62,tx,2024kglx,",tx2024kglx,",",tx,",",origin,phase-data,",19.0,0.3,0.2,66.0,ml,earthquake,"M 2.0 - 6 km ESE of Fowlerton, Texas",28.448,-98.749,6.4697,tx2024kglx
-0.47,"86 km NNW of Karluk, Alaska",1716667400660,1716932242270,,https://earthquake.usgs.gov/earthquakes/eventpage/av93009074,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/av93009074.geojson,,,,,reviewed,0,0,av,93009074,",av93009074,",",av,",",origin,phase-data,",7.0,0.06408,0.06,141.0,ml,earthquake,"M -0.5 - 86 km NNW of Karluk, Alaska",58.24,-155.1775,4.5,av93009074
0.44,"6 km E of Hebgen Lake Estates, Montana",1716667143260,1716908671000,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80070336,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu80070336.geojson,,,,,reviewed,0,3,uu,80070336,",uu80070336,",",uu,",",origin,phase-data,",7.0,0.03201,0.14,81.0,md,earthquake,"M 0.4 - 6 km E of Hebgen Lake Estates, Montana",44.7641666666667,-111.1075,10.96,uu80070336
4.3,"101 km NW of Isangel, Vanuatu",1716667124885,1717543134040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mp93,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mp93.geojson,,,,,reviewed,0,284,us,7000mp93,",us7000mp93,",",us,",",origin,phase-data,",21.0,3.922,1.18,140.0,mb,earthquake,"M 4.3 - 101 km NW of Isangel, Vanuatu",-18.8384,168.6587,149.878,us7000mp93
1.4,"16 km WNW of Anchor Point, Alaska",1716666012002,1716666201078,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246ps0i5s,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246ps0i5s.geojson,,,,,automatic,0,30,ak,0246ps0i5s,",ak0246ps0i5s,",",ak,",",origin,phase-data,",,,1.09,,ml,earthquake,"M 1.4 - 16 km WNW of Anchor Point, Alaska",59.8202,-152.1039,29.7,ak0246ps0i5s
1.92,"19 km N of Pine Mountain Club, CA",1716665978840,1716926275020,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600239,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600239.geojson,,,,,reviewed,0,57,ci,40600239,",ci40600239,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",49.0,0.08695,0.23,61.0,ml,earthquake,"M 1.9 - 19 km N of Pine Mountain Club, CA",35.0181667,-119.1776667,8.9,ci40600239
1.47,"14 km SSW of Searles Valley, CA",1716665902000,1716905693543,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600231,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600231.geojson,,,,,reviewed,0,33,ci,40600231,",ci40600231,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.04646,0.11,88.0,ml,earthquake,"M 1.5 - 14 km SSW of Searles Valley, CA",35.6575,-117.48,6.23,ci40600231
1.51,"2 km SW of Alamo, CA",1716665840980,1717529533741,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75012161,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nc75012161.geojson,,,,,reviewed,0,35,nc,75012161,",nc75012161,",",nc,",",nearby-cities,origin,phase-data,",38.0,0.02072,0.07,80.0,md,earthquake,"M 1.5 - 2 km SW of Alamo, CA",37.834,-122.049,8.45,nc75012161
0.99,"6 km SSW of Tonasket, Washington",1716665441300,1716931845180,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62008991,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw62008991.geojson,,,,,reviewed,0,15,uw,62008991,",uw62008991,",",uw,",",origin,phase-data,",3.0,0.07716,0.49,151.0,ml,explosion,"M 1.0 Explosion - 6 km SSW of Tonasket, Washington",48.64683333333333,-119.466,-0.69,uw62008991
1.52,"74 km WSW of Nikolski, Alaska",1716664668860,1716749350110,,https://earthquake.usgs.gov/earthquakes/eventpage/av93139856,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/av93139856.geojson,,,,,reviewed,0,36,av,93139856,",av93139856,",",av,",",origin,phase-data,",5.0,0.06201,0.27,273.0,ml,earthquake,"M 1.5 - 74 km WSW of Nikolski, Alaska",52.7321666666667,-169.9155,-0.57,av93139856
4.2,"201 km ESE of Labasa, Fiji",1716664544296,1717540286040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000mp8y,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us7000mp8y.geojson,,,,,reviewed,0,271,us,7000mp8y,",us7000mp8y,",",us,",",origin,phase-data,",25.0,1.788,0.34,89.0,mb,earthquake,"M 4.2 - 201 km ESE of Labasa, Fiji",-16.9653,-178.8332,558.467,us7000mp8y
1.90999997,"23 km SE of Naalehu, Hawaii",1716664106630,1716664215310,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74247926,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74247926.geojson,,,,,automatic,0,56,hv,74247926,",hv74247926,",",hv,",",origin,phase-data,",36.0,0.1999,0.209999993,267.0,md,earthquake,"M 1.9 - 23 km SE of Naalehu, Hawaii",18.9341659545898,-155.412170410156,16.9400005340576,hv74247926
4.9,"149 km NNW of Pototano, Indonesia",1716663541258,1716664647040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0zl,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000n0zl.geojson,,,,,reviewed,0,369,us,6000n0zl,",us6000n0zl,",",us,",",origin,phase-data,",114.0,1.816,0.71,49.0,mb,earthquake,"M 4.9 - 149 km NNW of Pototano, Indonesia",-7.0985,117.1803,602.563,us6000n0zl
1.9,"63 km SSW of Whites City, New Mexico",1716662697364,1716744494434,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024kgjb,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/tx2024kgjb.geojson,,,,,reviewed,0,56,tx,2024kgjb,",tx2024kgjb,",",tx,",",origin,phase-data,",8.0,0.1,0.1,80.0,ml,earthquake,"M 1.9 - 63 km SSW of Whites City, New Mexico",31.615,-104.522,8.1763,tx2024kgjb
2.1099999,"1 km S of Pāhala, Hawaii",1716662497420,1716662599740,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74247906,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74247906.geojson,,,,,automatic,0,68,hv,74247906,",hv74247906,",",hv,",",origin,phase-data,",46.0,0.03512,0.159999996,86.0,md,earthquake,"M 2.1 - 1 km S of Pāhala, Hawaii",19.1873340606689,-155.477996826172,31.3799991607666,hv74247906
1.82,"3 km SW of Pāhala, Hawaii",1716661831530,1716920724230,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74247901,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74247901.geojson,,,,,reviewed,0,51,hv,74247901,",hv74247901,",",hv,",",origin,phase-data,",38.0,0.04,0.09,94.0,md,earthquake,"M 1.8 - 3 km SW of Pāhala, Hawaii",19.1795,-155.496,37.64,hv74247901
0.55,"9 km E of Ridgecrest, CA",1716661672170,1716928591612,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600159,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600159.geojson,,,,,reviewed,0,5,ci,40600159,",ci40600159,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.09535,0.03,121.0,ml,earthquake,"M 0.6 - 9 km E of Ridgecrest, CA",35.6128333,-117.5746667,9.27,ci40600159
1.9,"15 km ESE of Healy, Alaska",1716661492887,1716661631388,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246prbq94,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246prbq94.geojson,,,,,automatic,0,56,ak,0246prbq94,",ak0246prbq94,",",ak,",",origin,phase-data,",,,0.32,,ml,earthquake,"M 1.9 - 15 km ESE of Healy, Alaska",63.8219,-148.6514,100.9,ak0246prbq94
0.79,"8 km ESE of Ridgecrest, CA",1716661408290,1716924509891,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40600151,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci40600151.geojson,,,,,reviewed,0,10,ci,40600151,",ci40600151,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.06658,0.15,86.0,ml,earthquake,"M 0.8 - 8 km ESE of Ridgecrest, CA",35.6021667,-117.5941667,2.88,ci40600151
0.79,"8 km NE of Coso Junction, CA",1716661389380,1716924677520,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37660452,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37660452.geojson,,,,,reviewed,0,10,ci,37660452,",ci37660452,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.03385,0.09,192.0,ml,earthquake,"M 0.8 - 8 km NE of Coso Junction, CA",36.104,-117.8931667,5.54,ci37660452
3.29,"57 km N of Isabela, Puerto Rico",1716661278530,1716662689480,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71450328,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/pr71450328.geojson,,,,,reviewed,0,167,pr,71450328,",pr71450328,",",pr,",",origin,phase-data,",10.0,0.546,0.46,216.0,md,earthquake,"M 3.3 - 57 km N of Isabela, Puerto Rico",19.0161666666667,-67.0928333333333,36.22,pr71450328
1.2,"40 km E of Anderson, Alaska",1716660936812,1716661058613,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246pr9rkh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246pr9rkh.geojson,,,,,automatic,0,22,ak,0246pr9rkh,",ak0246pr9rkh,",",ak,",",origin,phase-data,",,,1.04,,ml,earthquake,"M 1.2 - 40 km E of Anderson, Alaska",64.341,-148.3419,17.3,ak0246pr9rkh
2.2,"73 km ESE of Denali Park, Alaska",1716660370005,1716660479860,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246pr7s20,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246pr7s20.geojson,,,,,automatic,0,74,ak,0246pr7s20,",ak0246pr7s20,",",ak,",",origin,phase-data,",,,0.4,,ml,earthquake,"M 2.2 - 73 km ESE of Denali Park, Alaska",63.5346,-147.5079,0.1,ak0246pr7s20
2.7,"15 km ESE of Naalehu, Hawaii",1716660194690,1716920389540,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74247881,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74247881.geojson,,,,,reviewed,0,112,hv,74247881,",us6000n0z9,hv74247881,",",us,hv,",",origin,phase-data,",51.0,0.1256,0.1,212.0,ml,earthquake,"M 2.7 - 15 km ESE of Naalehu, Hawaii",19.0115,-155.4435,37.86,hv74247881
-0.38,"41 km NE of Adak, Alaska",1716660152550,1716930215570,,https://earthquake.usgs.gov/earthquakes/eventpage/av93009064,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/av93009064.geojson,,,,,reviewed,0,0,av,93009064,",av93009064,",",av,",",origin,phase-data,",4.0,0.02064,0.28,217.0,ml,earthquake,"M -0.4 - 41 km NE of Adak, Alaska",52.092,-176.144166666667,12.53,av93009064
4.3,"46 km NE of Puerto Cumarebo, Venezuela",1716660101850,1716734024214,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000n0z8,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000n0z8.geojson,1.0,2.0,,,reviewed,0,285,us,6000n0z8,",us6000n0z8,",",us,",",dyfi,origin,phase-data,",31.0,1.121,0.86,163.0,mb,earthquake,"M 4.3 - 46 km NE of Puerto Cumarebo, Venezuela",11.8154,-69.095,10.0,us6000n0z8
2.3,"105 km ESE of Yakutat, Alaska",1716660097484,1716660287141,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246pr6rkv,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246pr6rkv.geojson,,,,,automatic,0,81,ak,0246pr6rkv,",ak0246pr6rkv,",",ak,",",origin,phase-data,",,,1.13,,ml,earthquake,"M 2.3 - 105 km ESE of Yakutat, Alaska",59.1564,-138.0452,1.0,ak0246pr6rkv
0.46,"6 km E of Hebgen Lake Estates, Montana",1716659674370,1716908236070,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80070326,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu80070326.geojson,,,,,reviewed,0,3,uu,80070326,",uu80070326,",",uu,",",origin,phase-data,",11.0,0.03183,0.16,82.0,md,earthquake,"M 0.5 - 6 km E of Hebgen Lake Estates, Montana",44.7643333333333,-111.106333333333,9.96,uu80070326
1.9,"54 km NW of Toyah, Texas",1716659509086,1716904713547,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024kghi,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/tx2024kghi.geojson,,,,,reviewed,0,56,tx,2024kghi,",tx2024kghi,",",tx,",",origin,phase-data,",26.0,0.1,0.1,62.0,ml,earthquake,"M 1.9 - 54 km NW of Toyah, Texas",31.67,-104.197,4.5105,tx2024kghi
1.75,"5 km ESE of Hebgen Lake Estates, Montana",1716659503070,1716904786260,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80070316,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uu80070316.geojson,,,,,reviewed,0,47,uu,80070316,",uu80070316,",",uu,",",origin,phase-data,",17.0,0.04277,0.16,58.0,ml,earthquake,"M 1.8 - 5 km ESE of Hebgen Lake Estates, Montana",44.7543333333333,-111.119,10.67,uu80070316
1.96,"11 km SSE of Fern Forest, Hawaii",1716658511100,1716920006050,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74247861,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/hv74247861.geojson,,,,,reviewed,0,59,hv,74247861,",hv74247861,",",hv,",",origin,phase-data,",50.0,0.02046,0.1,121.0,md,earthquake,"M 2.0 - 11 km SSE of Fern Forest, Hawaii",19.382,-155.0775,36.74,hv74247861
0.9,"6 km SSE of Desert Aire, Washington",1716658405450,1716931491570,,https://earthquake.usgs.gov/earthquakes/eventpage/uw62008956,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/uw62008956.geojson,,,,,reviewed,0,12,uw,62008956,",uw62008956,",",uw,",",origin,phase-data,",9.0,0.0674,0.06,157.0,ml,earthquake,"M 0.9 - 6 km SSE of Desert Aire, Washington",46.62416666666667,-119.87666666666667,5.22,uw62008956
0.1,"56 km NW of Indian Springs, Nevada",1716657791712,1716769429654,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00878191,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00878191.geojson,,,,,reviewed,0,0,nn,00878191,",nn00878191,",",nn,",",origin,phase-data,",10.0,0.038,0.1435,66.74000000000001,ml,earthquake,"M 0.1 - 56 km NW of Indian Springs, Nevada",36.9218,-116.1243,4.1,nn00878191
2.1,"49 km ENE of Pedro Bay, Alaska",1716657684395,1716657879668,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0246pqplao,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak0246pqplao.geojson,,,,,automatic,0,68,ak,0246pqplao,",ak0246pqplao,",",ak,",",origin,phase-data,",,,0.72,,ml,earthquake,"M 2.1 - 49 km ENE of Pedro Bay, Alaska",59.9772,-153.3114,129.2,ak0246pqplao
